name,country,patent_count,avg_patents,multiple_of_avg
TOYOTA JIDOSHA KABUSHIKI KAISHA,JP,9958,11.58,859.94
"FORD GLOBAL TECHNOLOGIES, LLC",US,6748,11.58,582.74
General Electric Company,US,4740,11.58,409.33
"HONDA MOTOR CO., LTD.",JP,4030,11.58,348.02
GM GLOBAL TECHNOLOGY OPERATIONS LLC,US,3750,11.58,323.84
Hyundai Motor Company,KR,3729,11.58,322.03
"Nissan Motor Co., Ltd.",JP,2673,11.58,230.83
Robert Bosch GmbH,DE,2636,11.58,227.64
UNITED TECHNOLOGIES CORPORATION,US,2609,11.58,225.31
The Boeing Company,US,2453,11.58,211.83
DENSO CORPORATION,JP,1977,11.58,170.73
Kia Motors Corporation,KR,1912,11.58,165.11
MITSUBISHI ELECTRIC CORPORATION,JP,1510,11.58,130.4
Caterpillar Inc.,US,1342,11.58,115.89
"HITACHI, LTD.",JP,1229,11.58,106.13
RAYTHEON TECHNOLOGIES CORPORATION,US,1191,11.58,102.85
ROLLS-ROYCE plc,GB,1149,11.58,99.22
Mazda Motor Corporation,JP,1083,11.58,93.52
AIRBUS OPERATIONS LIMITED,GB,1057,11.58,91.28
General Motors LLC,US,922,11.58,79.62
Cummins Inc.,US,843,11.58,72.8
Bayerische Motoren Werke Aktiengesellschaft,DE,817,11.58,70.55
SAFRAN AIRCRAFT ENGINES,FR,815,11.58,70.38
HONEYWELL INTERNATIONAL INC.,US,765,11.58,66.06
"LG Chem, Ltd.",KR,741,11.58,63.99
Pratt & Whitney Canada Corp.,CA,733,11.58,63.3
"SAMSUNG DISPLAY CO., LTD.",KR,719,11.58,62.09
Dr. Ing. h.c. F. Porsche Aktiengesellschaft,,714,11.58,61.66
YAMAHA HATSUDOKI KABUSHIKI KAISHA,JP,708,11.58,61.14
Audi AG,DE,664,11.58,57.34
