name,country,city,patent_count,overall_rank,rank_in_country,pct_of_total
Gopichandra Surnilla,US,Beverly Hills,355,1,1,0.0916
Atsushi Tabata,JP,Okazaki,315,2,1,0.0813
Ross Dykstra Pursifull,US,Dearborn,300,3,2,0.0774
Shinji Ichikawa,JP,Toyota,218,4,2,0.0563
Joseph Norman Ulrey,US,Dearborn,211,5,3,0.0545
Thomas G. Leone,US,Ypsilanti,209,6,4,0.054
Gabriel L. Suciu,US,Glastonbury,207,7,5,0.0534
Jeffrey Allen Doering,US,Canton,207,7,5,0.0534
Anthony H. Heap,US,Ann Arbor,198,9,6,0.0511
Frederick M. Schwarz,US,Glastonbury,190,10,7,0.0491
Ming Lang Kuang,US,Canton,190,10,7,0.0491
Aed M. Dudar,US,Canton,186,12,8,0.048
Chris Paul Glugla,US,Chesterfield Township,173,13,9,0.0447
Tooru Matsubara,JP,Miyoshi,166,14,3,0.0429
Norio Takami,JP,Yokohama,163,15,4,0.0421
Michiel J. Van Nieuwstadt,US,Ann Arbor,161,16,10,0.0416
Ted J. Freeman,US,Danville,153,17,11,0.0395
Ajith Kuttannair Kumar,US,Erie,150,18,12,0.0387
Michael W. Degner,US,Novi,148,19,13,0.0382
Ching-Pang Lee,US,Cincinnati,146,20,14,0.0377
Douglas Raymond Martin,US,Canton,143,21,15,0.0369
Alan G. Holmes,US,Clarkston,139,22,16,0.0359
Rolf Brück,DE,Bensberg,136,23,1,0.0351
Mark Steven Yamazaki,US,Canton,134,24,17,0.0346
Nicholas Joseph Kray,US,Mason,134,24,17,0.0346
Donald J. Lewis,US,Howell,131,26,18,0.0338
John Eric Rollinger,US,Sterling Heights,130,27,19,0.0336
Rajit Johri,US,Ann Arbor,130,27,19,0.0336
Alex O'Connor Gibson,US,Ann Arbor,129,29,20,0.0333
Brandon Wayne Miller,US,Monroe,129,29,20,0.0333
Dominic J. Mongillo,US,Town of West Hartford,129,29,20,0.0333
Johannes Kaltenbach,DE,Friedrichshafen,126,32,2,0.0325
Tatsuya Imamura,JP,Okazaki,125,33,5,0.0323
John D. Russell,US,Farmington Hills,124,34,21,0.032
Robert Dean King,US,Schenectady,124,34,21,0.032
Tracy A. Propheter-Hinckley,US,Manchester,123,36,22,0.0318
Fazal Urrahman Syed,US,Canton,122,37,23,0.0315
Chandra S. Namuduri,US,Troy,120,38,24,0.031
Eugene V. Gonze,US,Pinckney,119,39,25,0.0307
Mamoru Yoshioka,JP,Susono,113,40,6,0.0292
Kenneth James Miller,US,Canton,113,40,26,0.0292
Jean Thomassin,CA,Sainte-Julie,110,42,1,0.0284
Adam Nathan Banker,US,Plymouth,110,42,27,0.0284
Ronald Scott Bunker,US,Sharonville,110,42,27,0.0284
Yue Wang,US,Troy,109,45,28,0.0281
Daniel Joseph Styles,US,Canton,106,46,29,0.0274
Aaron D. Sippel,US,Zionsville,103,47,30,0.0266
Hong Zhang,DE,Tegernheim,102,48,3,0.0263
Brandon W. Spangler,US,Vernon,102,48,31,0.0263
Leslie Bromberg,US,Sharon,102,48,31,0.0263
