name,country,patent_count
TOYOTA JIDOSHA KABUSHIKI KAISHA,JP,9958
"FORD GLOBAL TECHNOLOGIES, LLC",US,6748
General Electric Company,US,4740
"HONDA MOTOR CO., LTD.",JP,4030
GM GLOBAL TECHNOLOGY OPERATIONS LLC,US,3750
Hyundai Motor Company,KR,3729
"Nissan Motor Co., Ltd.",JP,2673
Robert Bosch GmbH,DE,2636
UNITED TECHNOLOGIES CORPORATION,US,2609
The Boeing Company,US,2453
DENSO CORPORATION,JP,1977
Kia Motors Corporation,KR,1912
MITSUBISHI ELECTRIC CORPORATION,JP,1510
Caterpillar Inc.,US,1342
"HITACHI, LTD.",JP,1229
RAYTHEON TECHNOLOGIES CORPORATION,US,1191
ROLLS-ROYCE plc,GB,1149
Mazda Motor Corporation,JP,1083
AIRBUS OPERATIONS LIMITED,GB,1057
General Motors LLC,US,922
