year,patent_count,cumulative_total
1976,726,726
1977,573,1299
1978,683,1982
1979,455,2437
1980,593,3030
1981,657,3687
1982,631,4318
1983,694,5012
1984,881,5893
1985,815,6708
1986,642,7350
1987,801,8151
1988,714,8865
1989,807,9672
1990,795,10467
1991,896,11363
1992,1012,12375
1993,1010,13385
1994,977,14362
1995,1036,15398
1996,1138,16536
1997,1089,17625
1998,1437,19062
1999,1477,20539
2000,1601,22140
2001,1894,24034
2002,1946,25980
2003,2044,28024
2004,1997,30021
2005,2007,32028
2006,2296,34324
2007,2083,36407
2008,2026,38433
2009,2090,40523
2010,2897,43420
2011,3269,46689
2012,4259,50948
2013,4833,55781
2014,5749,61530
2015,6802,68332
2016,6937,75269
2017,7864,83133
2018,7872,91005
2019,9085,100090
2020,8639,108729
2021,7887,116616
2022,7011,123627
2023,6910,130537
2024,5852,136389
2025,4735,141124
